timestamp,predicted_energy
2026-02-11 16:00:00,492.15697327327325
2026-02-11 17:00:00,492.16317749559744
2026-02-11 18:00:00,492.1693817179217
2026-02-11 19:00:00,492.1755859402459
2026-02-11 20:00:00,492.1817901625701
2026-02-11 21:00:00,492.18799438489435
2026-02-11 22:00:00,492.19419860721854
2026-02-11 23:00:00,492.2004028295428
2026-02-12 00:00:00,492.206607051867
2026-02-12 01:00:00,492.2128112741912
2026-02-12 02:00:00,492.21901549651545
2026-02-12 03:00:00,492.2252197188397
2026-02-12 04:00:00,492.2314239411639
2026-02-12 05:00:00,492.2376281634881
2026-02-12 06:00:00,492.24383238581237
2026-02-12 07:00:00,492.25003660813655
2026-02-12 08:00:00,492.2562408304608
2026-02-12 09:00:00,492.262445052785
2026-02-12 10:00:00,492.2686492751092
2026-02-12 11:00:00,492.27485349743347
2026-02-12 12:00:00,492.28105771975765
2026-02-12 13:00:00,492.2872619420819
2026-02-12 14:00:00,492.29346616440614
2026-02-12 15:00:00,492.2996703867303
